_id,node_id,name,original_name,former_name,jurisdiction,jurisdiction_description,company_type,address,internal_id,incorporation_date,inactivation_date,struck_off_date,dorm_date,status,service_provider,ibcRUC,country_codes,countries,sourceID,valid_until,note,zip,zip_five,state,lat,long,state_full
8690,10008690,condor properties corporation,condor properties corporation,,pma,panama,,stephen robert thompson interlink 469 po box 25756 miami florida 331025756 united states of america,12921.0,05apr1991,18jul2012,15jul2012,,defaulted,mossack fonseca,0,usa,united states,panama papers,the panama papers data is current through 2015,,331025756,33102,florida,27.994402,-81.760254,florida
8777,10008778,navaco enterprises inc,navaco enterprises inc,,pma,panama,,mr jose luis navarro cobos 2131 jamara lane houston texas 77077 u s a,1355.0,06nov1980,08nov1996,06feb1982,,inactivated,mossack fonseca,,usa,united states,panama papers,the panama papers data is current through 2015,,77077 ,77077,texas,31.0,-100.0,texas
9194,10009194,panama aviation services association sa,panama aviation services association sa,,pma,panama,,bellomylawson aviation inc p o box 522760 miami florida 33152 u s a,1951.0,17aug1981,17sep1982,17nov1982,,dissolved,mossack fonseca,,usa,united states,panama papers,the panama papers data is current through 2015,,33152 ,33152,florida,27.994402,-81.760254,florida
9225,10009223,maestro management inc,maestro management inc,,pma,panama,,colin chaffe po box 121421 clermont florida 347121421 usa,19367.0,06jun2000,,,,active,mossack fonseca,85,usa,united states,panama papers,the panama papers data is current through 2015,,347121421,34712,florida,27.994402,-81.760254,florida
9436,10009433,laser maritime inc,laser maritime inc,,pma,panama,,heino rose co transoceanicas sa m235 po box 025345 miami florida 33102,15170.0,02mar1995,,,,active,mossack fonseca,15,usa,united states,panama papers,the panama papers data is current through 2015,,33102,33102,florida,27.994402,-81.760254,florida
9502,10009503,fipex internacional sa,fipex internacional sa,,pma,panama,,mr robert zanasco 2659 west okee road hialeah florida 33010 u s a,1853.0,24jun1981,08oct1990,24sep1982,,changed agent,mossack fonseca,,usa,united states,panama papers,the panama papers data is current through 2015,,33010 ,33010,florida,27.994402,-81.760254,florida
9550,10009548,dovetail associates inc,dovetail associates inc,,pma,panama,,mr jorge basile 420 lexington ave office 1624 new york ny 10017 u s a,15111.0,27jan1995,10jul2001,27apr1999,,defaulted,mossack fonseca,3,usa,united states,panama papers,the panama papers data is current through 2015,,10017 ,10017,new york,43.0,-75.0,new york
9622,10009623,adair colombia oil  gas sa,adair colombia oil  gas sa,,pma,panama,,endevco inc 2425 fountainview ste 215 houston texas 77057 usa,17098.0,25aug1997,12jan2007,15jan2009,,changed agent,mossack fonseca,11,usa,united states,panama papers,the panama papers data is current through 2015,,77057 ,77057,texas,31.0,-100.0,texas
9634,10009635,consultores aeronauticos sa,consultores aeronauticos sa ex indu crawf e hijos sa,indu crawf e hijos sa,pma,panama,,mrs katharina s crawford po box 6138 reno nevada 895136138 u s a,1708.0,21jan1969,01sep1995,21apr1996,,dissolved,mossack fonseca,,usa,united states,panama papers,the panama papers data is current through 2015,,895136138,89513,nevada,39.876019,-117.224121,nevada
9734,10009735,pulldown corporation,pulldown corporation,,pma,panama,,fabrica de refrigeradores comerciales c por a eps a294 p o box 025522 miami florida 331025522 usa,13204.0,18sep1991,,,,active,mossack fonseca,43,usa,united states,panama papers,the panama papers data is current through 2015,,331025522,33102,florida,27.994402,-81.760254,florida
9903,10009904,florissant enterprises sa,florissant enterprises sa,,pma,panama,,mr eric w shaw c0 paul hastings janofsky  walker llp 75 east 55th street new york ny 100223205 usa,13778.0,25aug1992,17jan2006,31dec2005,,defaulted,mossack fonseca,8,usa,united states,panama papers,the panama papers data is current through 2015,,100223205,10022,new york,43.0,-75.0,new york
10034,10010033,dmedel mar enterprises inc,dmedel mar enterprises inc,,pma,panama,,ubs miami 701 brickell ave suite 3250 miami florida 33131 usa,18039.0,21sep1998,05aug2015,15jan2018,,changed agent,mossack fonseca,33,usa,united states,panama papers,the panama papers data is current through 2015,,33131 ,33131,florida,27.994402,-81.760254,florida
10065,10010064,shabby invest ltd sa,shabby invest ltd sa,,pma,panama,,mr leon b lipkin two grand central tower 140 east 45th street new york new york 10017 united states of america,15416.0,14aug1995,21jan1999,14nov1996,,defaulted,mossack fonseca,86,usa,united states,panama papers,the panama papers data is current through 2015,,10017 ,10017,new york,43.0,-75.0,new york
10191,10010192,takle pakle sa,takle pakle sa,,pma,panama,,citigroup private bank 201 south biscayne boulevard suite 3300 miami florida 33131 usa,19818.0,09nov2000,20apr2005,31dec2005,,bad debt account,mossack fonseca,95,usa,united states,panama papers,the panama papers data is current through 2015,,33131 ,33131,florida,27.994402,-81.760254,florida
10259,10010260,dutjay s a,dutjay s a,,pma,panama,,mr peter n mc namara one biscayne tower suite 3250 two south biscayne boulevard miami florida 33131 u s a,1532.0,06feb1981,24dec1987,06may1982,,inactivated,mossack fonseca,,usa,united states,panama papers,the panama papers data is current through 2015,,33131 ,33131,florida,27.994402,-81.760254,florida
10367,10010368,chayofa corp,chayofa corp,,pma,panama,,ubs miami 701 brickell ave suite 3250 miami florida 33131 usa,18493.0,17may1999,,,,active,mossack fonseca,30,usa,united states,panama papers,the panama papers data is current through 2015,,33131 ,33131,florida,27.994402,-81.760254,florida
10377,10010378,nimrod holdings inc,nimrod holdings incexsieber holdings inc,sieber holdings inc,pma,panama,,mr leon d gould co whitehall financial group inc 711 fifth avenue 16th floor new york ny 10022 u s a si,12545.0,08oct1990,02nov2000,08jan2002,,dissolved,mossack fonseca,86,usa,united states,panama papers,the panama papers data is current through 2015,,10022 ,10022,new york,43.0,-75.0,new york
10890,10010887,g y p inversiones sa,g y p inversiones sa,,pma,panama,,francisco galue g y p inversiones sa depto  50  banco mar02700 8401 nw 17th street miami florida 331261009,19614.0,14sep2000,,,,active,mossack fonseca,70,usa,united states,panama papers,the panama papers data is current through 2015,,331261009,33126,florida,27.994402,-81.760254,florida
11005,10011001,continental resource development sa,continental resource development sa,,pma,panama,,continental resource development sa suite sjo 2764 1601 nw 97th ave po box 025216 miami florida 33102,17034.0,04jul1997,29jan2004,04oct2003,,defaulted,mossack fonseca,98,usa,united states,panama papers,the panama papers data is current through 2015,,33102,33102,florida,27.994402,-81.760254,florida
11025,10011023,exinvest corporation,exinvest corporation,,pma,panama,,exinvest corporation 2020 nw 89th place miami florida 33172 attn heidi verdezoto,16617.0,13jan1997,22jan1997,13apr1998,,dissolved,mossack fonseca,,usa,united states,panama papers,the panama papers data is current through 2015,,33172 ,33172,florida,27.994402,-81.760254,florida
11239,10011240,tega associated sa,tega associated sa,,pma,panama,,teresita garcia tega associated sa co 5600 collins avenue  apt 4kl miami beach florida 33140,18962.0,12jan2000,18jul2011,15jul2011,,defaulted,mossack fonseca,52,usa,united states,panama papers,the panama papers data is current through 2015,,33140,33140,florida,27.994402,-81.760254,florida
11326,10011327,danresa limited,danresa limited,,ang,british anguilla,,asael t sorensen summit trustees pllc 2319 foothill drive suite 160 salt lake city utah 84109 usa,2001023.0,14sep2010,03apr2014,31mar2014,,defaulted,mossack fonseca,2167459,usa,united states,panama papers,the panama papers data is current through 2015,,84109 ,84109,utah,39.41922,-111.950684,utah
11443,10011441,enc holding inc,enc holding inc,,pma,panama,,marta p kelly po box 946 key biscayne florida 33149,19157.0,15mar1999,16jul2008,15jul2008,,defaulted,mossack fonseca,18,usa,united states,panama papers,the panama papers data is current through 2015,,33149,33149,florida,27.994402,-81.760254,florida
11476,10011477,far eastnorth america manufacturing fena ltd hk,far eastnorth america manufacturing fena ltd hk,,pma,panama,,far eastnorth america manufacturing fena ltd co julio chiu 2905a rosa avenue el paso texas 79905 u s a si attorney work product privileged and confidential,13984.0,18dec1992,07aug2003,18mar1994,,bad debt account,mossack fonseca,,usa,united states,panama papers,the panama papers data is current through 2015,,79905 ,79905,texas,31.0,-100.0,texas
11933,10011934,atler corporation,atler corporation,,pma,panama,,ubs miami 701 brickell ave suite 3250 miami florida 33131 usa,19425.0,26jun2000,12jul2013,15jul2014,,changed agent,mossack fonseca,71,usa,united states,panama papers,the panama papers data is current through 2015,,33131 ,33131,florida,27.994402,-81.760254,florida
12400,10012395,emetec investments inc,emetec investments inc,,pma,panama,,mr javier ferreiro parga key biscayne key colony 303 miami florida 33149 usa,14635.0,08feb1994,05jan2001,08may1995,,defaulted,mossack fonseca,6,usa,united states,panama papers,the panama papers data is current through 2015,,33149 ,33149,florida,27.994402,-81.760254,florida
12551,10012549,platex associates corp,platex associates corp,,pma,panama,,oswaldo pinero platex associates corp 4720 nw 102 avenue  apt 101 miami florida 331782264,18353.0,24feb1999,30jun2009,15jul2011,,dissolved,mossack fonseca,56,usa,united states,panama papers,the panama papers data is current through 2015,,331782264,33178,florida,27.994402,-81.760254,florida
12664,10012663,giancarul sa,giancarul sa,,pma,panama,,raul de gregorio 1613 royal grove way weston florida 33327,18724.0,22sep1999,,,,active,mossack fonseca,12,usa,united states,panama papers,the panama papers data is current through 2015,,33327,33327,florida,27.994402,-81.760254,florida
13096,10013096,halfton resources inc,halfton resources inc,,pma,panama,,efg capital international 701 brickell avenue  9th floor miami florida 33131 usa,19020.0,01feb2000,17jul2015,15jul2015,,defaulted,mossack fonseca,97,usa,united states,panama papers,the panama papers data is current through 2015,,33131 ,33131,florida,27.994402,-81.760254,florida
13832,10013825,corbillot investments sa,corbillot investments sa ex rockall holdings inc,rockall holdings inc,pma,panama,,mr leon d gould co whitehall financial group inc 711 fifth avenue 16th floor new york ny 10022 u s a si,13309.0,11jan1988,21feb1994,11apr1989,,dissolved,mossack fonseca,,usa,united states,panama papers,the panama papers data is current through 2015,,10022 ,10022,new york,43.0,-75.0,new york
14991,10014987,xinox inc,xinox inc,,pma,panama,,bellomylawson aviation inc p o box 522760 miami florida 33152 u s a,1804.0,05jun1981,18jul1984,05sep1982,,dissolved,mossack fonseca,,usa,united states,panama papers,the panama papers data is current through 2015,,33152 ,33152,florida,27.994402,-81.760254,florida
15081,10015176,greenzone ltd,greenzone ltd,,ang,british anguilla,,zigzag group inc 4179 sunnyslope avenue suite sherman oaks california 91423 usa,2000709.0,16jul2009,18apr2012,31mar2012,,defaulted,mossack fonseca,2144875,usa,united states,panama papers,the panama papers data is current through 2015,,91423 ,91423,california,36.778259,-119.417931,california
15267,10015260,oil integrated services international limited,oil integrated services international limited subsea solution international ltd,subsea solution international ltd,sey,seychelles,,danielle smith american overseas management  administration corporation 700 eleventh street south ph2 naples florida 341026777 usa,200666.0,13aug2001,,,,active,mossack fonseca,007676,usa,united states,panama papers,the panama papers data is current through 2015,,341026777,34102,florida,27.994402,-81.760254,florida
16054,10016055,success pearl limited,success pearl limited,,sey,seychelles,,xtera communications inc 500 w bethany drive suite 100 allen texas 75013 usa,200980.0,21aug2002,19jan2015,31dec2014,,defaulted,mossack fonseca,000321,usa,united states,panama papers,the panama papers data is current through 2015,,75013,75013,texas,31.0,-100.0,texas
16227,10016396,mdg development group malaika ltd,mdg development group malaika ltd,,ang,british anguilla,,nadav berenstein 8 west 75th street apt b new york ny usa 100232082,2002630.0,17may2013,,,,active,mossack fonseca,2270444,usa,united states,panama papers,the panama papers data is current through 2015,,100232082,10023,new york,43.0,-75.0,new york
16295,10016289,rainbow management sa,rainbow management sa,,pma,panama,,citigroup private bank 201 south biscayne boulevard suite 3300 miami florida 33131 usa,20076.0,26jan2001,,,,active,mossack fonseca,39,usa,united states,panama papers,the panama papers data is current through 2015,,33131 ,33131,florida,27.994402,-81.760254,florida
16450,10016446,sedgefield ltd,sedgefield ltd,,ang,british anguilla,,asael t sorensen summit trustees pllc 2319 foothill drive suite 160 salt lake city utah 84109 usa,2001003.0,20aug2010,03apr2014,31mar2014,,defaulted,mossack fonseca,2166092,usa,united states,panama papers,the panama papers data is current through 2015,,84109 ,84109,utah,39.41922,-111.950684,utah
16664,10016660,inversiones 42 sa,inversiones 42 sa,,pma,panama,,citigroup private bank 201 south biscayne boulevard suite 3300 miami florida 33131 usa,20032.0,05jan2001,18jul2012,15jul2012,,defaulted,mossack fonseca,86,usa,united states,panama papers,the panama papers data is current through 2015,,33131 ,33131,florida,27.994402,-81.760254,florida
16694,10016692,seclor holding limited,seclor holding limited,,ang,british anguilla,,leonardo heidner 115 west 45th street suite 606 ny 10036 new york usa,2002328.0,24oct2012,,,,active,mossack fonseca,2248204,usa,united states,panama papers,the panama papers data is current through 2015,,10036 ,10036,new york,43.0,-75.0,new york
17088,10017082,gryon asset management inc,gryon asset management inc,,ang,british anguilla,,leonardo heidner 115 west 45th street suite 606 ny 10036 new york usa,2002326.0,24oct2012,02jul2014,29jun2014,,defaulted,mossack fonseca,2248178,usa,united states,panama papers,the panama papers data is current through 2015,,10036 ,10036,new york,43.0,-75.0,new york
17423,10017424,aeroflex international ltd,aeroflex international ltd,,sey,seychelles,,danielle smith american overseas management  administration corporation 700 eleventh street south ph2 naples florida 341026777 usa,202276.0,10nov2004,04jan2010,31dec2009,,defaulted,mossack fonseca,017289,usa,united states,panama papers,the panama papers data is current through 2015,,341026777,34102,florida,27.994402,-81.760254,florida
17494,10017490,mkm holdings corporation,mkm holdings corporation,,sey,seychelles,,himesh patel 1956 crosshair circle orlando florida 32837 usa tn14 7ee,201318.0,20jun2003,04jan2005,31dec2004,,defaulted,mossack fonseca,012047,usa,united states,panama papers,the panama papers data is current through 2015,,32837 ,32837,florida,27.994402,-81.760254,florida
18145,10018137,kasslang sa,kasslang sa,,pma,panama,,mr peter n mc namara one biscayne tower suite 3250 two south biscayne boulevard miami florida 33131 u s a,2081.0,05oct1981,24dec1987,05jan1983,,inactivated,mossack fonseca,,usa,united states,panama papers,the panama papers data is current through 2015,,33131 ,33131,florida,27.994402,-81.760254,florida
18829,10018829,international financing infin limited,international financing infin limited,,sey,seychelles,,qproducts llc 715 pinellas calle clearwater florida 33756 eeuu floridausa usa,201519.0,16oct2003,,31dec2015,,inactivated,mossack fonseca,013161,usa,united states,panama papers,the panama papers data is current through 2015,,33756,33756,florida,27.994402,-81.760254,florida
19151,10019177,lakeside consultants sa,lakeside consultants sa,,pma,panama,,troncoso y caceres eps a126 po box 025522 miami florida 331025522 united states,20312.0,15may2001,30dec2014,15jul2016,,changed agent,mossack fonseca,40,usa,united states,panama papers,the panama papers data is current through 2015,,331025522,33102,florida,27.994402,-81.760254,florida
19588,10019583,hegame pachuca sa,hegame pachuca sa,,pma,panama,,mori huston partners llc 1627 brickell avenue 1804 miami florida 33131,20417.0,20jun2001,,,,active,mossack fonseca,14,usa,united states,panama papers,the panama papers data is current through 2015,,33131,33131,florida,27.994402,-81.760254,florida
19939,10019945,oberberg corp,oberberg corp,,pma,panama,,mr leon d gould co whitehall financial group inc 711 fifth avenue 16th floor new york ny 10022 u s a si,20204.0,26mar2001,,,,active,mossack fonseca,9,usa,united states,panama papers,the panama papers data is current through 2015,,10022 ,10022,new york,43.0,-75.0,new york
19959,10020001,san marco consultants sa,san marco consultants sa,,pma,panama,,citigroup private bank 201 south biscayne boulevard suite 3300 miami florida 33131 usa,20707.0,30aug2001,16jan2007,31dec2005,,defaulted,mossack fonseca,28,usa,united states,panama papers,the panama papers data is current through 2015,,33131 ,33131,florida,27.994402,-81.760254,florida
20440,10020435,business intelligence consultancy ltd,business intelligence consultancy ltd,,sey,seychelles,,business intelligence consultancy box 447 co ips pmb 572 666 fifth avenue new york ny 101030001 usa si,200482.0,26feb2001,04jan2010,31dec2009,,defaulted,mossack fonseca,006763,usa,united states,panama papers,the panama papers data is current through 2015,,101030001,10103,new york,43.0,-75.0,new york
20565,10020561,dubolan s a,dubolan s a,,pma,panama,,mr peter n mc namara one biscayne tower suite 3250 two south biscayne boulevard miami florida 33131 u s a,2082.0,05oct1981,24dec1987,05jan1983,,inactivated,mossack fonseca,,usa,united states,panama papers,the panama papers data is current through 2015,,33131 ,33131,florida,27.994402,-81.760254,florida
20580,10020573,carnell sa,carnell sa,,pma,panama,,ubs miami 701 brickell ave suite 3250 miami florida 33131 usa,20592.0,01aug2001,01nov2006,15jan2009,,changed agent,mossack fonseca,30,usa,united states,panama papers,the panama papers data is current through 2015,,33131 ,33131,florida,27.994402,-81.760254,florida
20686,10020687,isabela holdings group sa,isabela holdings group sa,,pma,panama,,isabela holdings group sa 701 brickel avenue suite 3250 miami florida 33131 usa,20479.0,11jul2001,31may2006,15jan2008,,changed agent,mossack fonseca,24,usa,united states,panama papers,the panama papers data is current through 2015,,33131 ,33131,florida,27.994402,-81.760254,florida
21049,10021040,syrafleur equities inc,syrafleur equities inc,,sey,seychelles,,asael t sorensen summit trustees pllc 2319 foothill drive suite 160 salt lake city utah 84109 usa,211722.0,05jan2010,14jan2013,31dec2012,,defaulted,mossack fonseca,070174,usa,united states,panama papers,the panama papers data is current through 2015,,84109 ,84109,utah,39.41922,-111.950684,utah
21635,10021636,avanzar inc,avanzar inc,,pma,panama,,harper meyer perez  ferrer llp 1650 bank of america 701 brickell avenue miami florida 33131 usa,1133.0,17jul1980,,17oct1981,,dissolved,mossack fonseca,,usa,united states,panama papers,the panama papers data is current through 2015,,33131,33131,florida,27.994402,-81.760254,florida
21918,10021913,cotterill sa,cotterill sa,,pma,panama,,corpro international llc one rodney square po box 551 wilmington delaware 19899 usa,20496.0,18jul2001,13jul2010,15jan2013,,dissolved,mossack fonseca,30,usa,united states,panama papers,the panama papers data is current through 2015,,19899 ,19899,delaware,39.0,-75.5,delaware
21987,10021983,fridikka sa,fridikka sa,,pma,panama,,mr peter n mc namara one biscayne tower suite 3250 two south biscayne boulevard miami florida 33131 u s a,2080.0,05oct1981,24dec1987,05jan1983,,inactivated,mossack fonseca,,usa,united states,panama papers,the panama papers data is current through 2015,,33131 ,33131,florida,27.994402,-81.760254,florida
21999,10021995,cardinal international investments ltd,cardinal international investments ltd towers investments limited,towers investments limited,sey,seychelles,,leonardo heidner 500 fifth avenue suite 1810 ny 10110 new york usa,212119.0,26apr2010,,,,active,mossack fonseca,074744,usa,united states,panama papers,the panama papers data is current through 2015,,10110 ,10110,new york,43.0,-75.0,new york
22286,10022285,hardwood consultants inc,hardwood consultants inc,,sey,seychelles,,gunderboom inc 9401 king street suite a anchorage alaska 99515 usa,208043.0,08aug2007,04jan2010,31dec2009,,defaulted,mossack fonseca,039533,usa,united states,panama papers,the panama papers data is current through 2015,,99515 ,99515,alaska,66.160507,-153.369141,alaska
23265,10023265,amaf sa,amaf sa,,pma,panama,,ubs miami 701 brickell ave suite 3250 miami florida 33131 usa,20756.0,13sep2001,13dec2010,15jan2012,,dissolved,mossack fonseca,78,usa,united states,panama papers,the panama papers data is current through 2015,,33131 ,33131,florida,27.994402,-81.760254,florida
23395,10023396,copper hill investments ltd,copper hill investments ltd,,sey,seychelles,,andrew claffey 445 kinderkamack rd river edge new jersey usa 07661,210078.0,26nov2008,02jan2014,31dec2013,,defaulted,mossack fonseca,056561,usa,united states,panama papers,the panama papers data is current through 2015,,07661,07661,new jersey,39.833851,-74.871826,new jersey
23446,10023447,freshworld limited,freshworld limited,,sey,seychelles,,vinod chavan 17744 oak bridge street tampa florida fl 33647 usa,208814.0,24jan2008,04jan2010,31dec2009,,defaulted,mossack fonseca,044657,usa,united states,panama papers,the panama papers data is current through 2015,,33647,33647,florida,27.994402,-81.760254,florida
23625,10023627,chicomra s a,chicomra s a,,pma,panama,,mr peter n mc namara one biscayne tower suite 3250 two south biscayne boulevard miami florida 33131 u s a,2077.0,05oct1981,24dec1987,05jan1983,,inactivated,mossack fonseca,,usa,united states,panama papers,the panama papers data is current through 2015,,33131 ,33131,florida,27.994402,-81.760254,florida
23693,10023692,varsity holdings corp,varsity holdings corp,,pma,panama,,varsity holdings corp 701 brickel avenue suite 3250 miami florida 33131 usa,21326.0,07may2002,04jan2006,15jul2007,,changed agent,mossack fonseca,94,usa,united states,panama papers,the panama papers data is current through 2015,,33131 ,33131,florida,27.994402,-81.760254,florida
23842,10023841,zoco shop llp,zoco shop llp,,uk,united kingdom,,olga santini 1541 brickell avenue  1806 miami florida 33129 usa,1100247.0,08may2014,,,,active,mossack fonseca,oc393005,usa,united states,panama papers,the panama papers data is current through 2015,,33129 ,33129,florida,27.994402,-81.760254,florida
24322,10024323,company management inc,company management inc,,sey,seychelles,,leonardo heidner 500 fifth avenue suite 1810 ny 10110 new york usa,210998.0,06jul2009,,,,active,mossack fonseca,063487,usa,united states,panama papers,the panama papers data is current through 2015,,10110 ,10110,new york,43.0,-75.0,new york
24643,10024644,numtex corp,numtex corp,,sey,seychelles,,leo heidner 546 fifth avenue new york ny 10036 usa new york usa,211157.0,13aug2009,17jun2010,31dec2011,,defaulted,mossack fonseca,064752,usa,united states,panama papers,the panama papers data is current through 2015,,10036,10036,new york,43.0,-75.0,new york
